threshold,voltage,x,y,z
226,568.464,568.464,1.03,-0.022
227,569.475,569.475,1.011,-0.019
228,570.465,570.465,0.99,-0.021
229,571.436,571.436,0.971,-0.019
230,572.388,572.388,0.952,-0.019
231,573.321,573.321,0.933,-0.019
232,574.235,574.235,0.914,-0.019
233,575.13,575.13,0.895,-0.019
234,576.008,576.008,0.878,-0.017
235,576.868,576.868,0.86,-0.018
236,577.71,577.71,0.842,-0.018
237,578.536,578.536,0.826,-0.016
238,579.344,579.344,0.808,-0.018
239,580.136,580.136,0.792,-0.016
240,580.912,580.912,0.776,-0.016
241,581.672,581.672,0.76,-0.016
242,582.417,582.417,0.745,-0.015
243,583.146,583.146,0.729,-0.016
244,583.86,583.86,0.714,-0.015
245,584.559,584.559,0.699,-0.015
246,585.245,585.245,0.686,-0.013
247,585.916,585.916,0.671,-0.015
248,586.573,586.573,0.657,-0.014
249,587.217,587.217,0.644,-0.013
250,587.848,587.848,0.631,-0.013
251,588.466,588.466,0.618,-0.013
252,589.071,589.071,0.605,-0.013
253,589.665,589.665,0.594,-0.011
254,590.246,590.246,0.581,-0.013
255,590.815,590.815,0.569,-0.012
